entity	layer	cells	best_alpha_topk	best_relprob_topk	best_alpha_top1	best_relprob_top1	baseline_relprob	wrong_relprob_at_best_topk	success_topk	topk_needed
Queen Victoria	1	L1-N18579,L1-N7557,L1-N1094,L1-N14043,L1-N17331	8.0	21.049430632574197	8.0	19.98079795384844	0.2557034508063699	0.5974014370906457	1	0
Rumi	2	L2-N6292,L2-N18091,L2-N16653,L2-N18048,L2-N5416	2.0	13.740299774339254	2.0	13.93121574318733	6.095312990836326	11.967230968590723	1	0
White House	1	L1-N18670,L1-N14270,L1-N236,L1-N12707,L1-N4750	4.0	4.237749007261246	4.0	4.186423565608116	0.10886621967810313	0.044197066466282464	1	0
Poland	4	L4-N7987,L4-N15363,L4-N1585,L4-N17736,L4-N4712	8.0	3.4683768964380115	8.0	3.468829246499288	0.027961038849569783	0.02619578484740772	1	0
Philadelphia	4	L4-N751,L4-N15557,L4-N17483,L4-N5771,L4-N8235	200.0	2.975711459703987	200.0	2.9766207847877046	1.1128472000168632	2.2591638653675834	1	0
Star Wars	1	L1-N6101,L1-N8117,L1-N1508,L1-N12787,L1-N16151	4.0	2.936482584791973	4.0	2.9369935241869847	0.0177241953124246	0.03347139158335694	1	0
The Ring	2	L2-N14458,L2-N6725,L2-N2862,L2-N11298,L2-N6554	200.0	2.591160746730759	200.0	2.5893394998276302	1.9920605480372349	1.9772819674934543	1	0
Spain	2	L2-N5876,L2-N1725,L2-N14706,L2-N2059,L2-N18600	8.0	2.540803861922936	8.0	2.5795547065603106	0.12478706908449544	0.05624228581916268	1	0
Australia	1	L1-N8982,L1-N6963,L1-N15998,L1-N17401,L1-N1878	32.0	2.2403715487978593	32.0	2.2419800678552577	0.1014327517606636	0.06457965169877347	1	0
Peru	2	L2-N17476,L2-N16764,L2-N2069,L2-N18813,L2-N2127	8.0	2.225056900045446	8.0	2.2269472415335607	0.057640155834302174	0.07155933153490537	1	0
Athens	1	L1-N18605,L1-N10407,L1-N8042,L1-N13439,L1-N7453	4.0	2.1677599404975028	4.0	2.1664821575451643	0.3915517220345718	0.33353865903405006	1	0
Kuala Lumpur	3	L3-N2420,L3-N14548,L3-N14479,L3-N7187,L3-N15912	8.0	2.1276487269369886	8.0	2.5410395852023666	0.010171022447571782	0.013953838954124309	1	0
Afghanistan	3	L3-N2492,L3-N17873,L3-N5153,L3-N7405,L3-N1195	8.0	2.108837623667781	8.0	2.1082076842548467	0.09477174707560188	0.16529910290602767	1	0
Houston	1	L1-N11316,L1-N17755,L1-N2237,L1-N12967,L1-N2459	4.0	1.8689065071488438	4.0	1.8777673937859143	0.20005304258613354	0.22098239458647922	1	0
Mali	3	L3-N10631,L3-N10164,L3-N3990,L3-N5408,L3-N16482	4.0	1.7926830924486592	4.0	1.8006329368544518	0.004315442465489806	0.0006446839904202792	1	0
